lon,lat,mag,time_string,depth,catalog_id,event_id
-117.2803333,35.9538333,3.55,2019-07-11T05:03:46.140000,4.86,,ci38528383
-117.883,36.1793333,4.02,2019-07-11T07:04:05.960000,1.46,,ci38529591
-117.8843333,36.1795,3.53,2019-07-11T07:19:49.980000,1.97,,ci38529711
-117.7231667,36.0441667,3.55,2019-07-11T10:43:35.390000,1.48,,ci38531663
-117.3773333,35.9423333,3.67,2019-07-11T10:59:45.820000,1.71,,ci38531775
-117.4206667,35.618,3.53,2019-07-11T11:36:16.600000,4.76,,ci38532079
-117.3803333,35.9403333,3.52,2019-07-11T12:20:42.280000,2.16,,ci38532487
-117.8768333,36.1565,3.87,2019-07-11T15:32:52.260000,2.29,,ci38534255
-117.8841667,36.1823333,3.72,2019-07-11T16:19:08.760000,0.96,,ci38534591
-117.5061667,35.7033333,3.53,2019-07-11T16:41:08.500000,2.48,,ci38534735
-117.703,35.95,4.14,2019-07-11T23:45:18.670000,4.32,,ci38538991
-117.6985,35.9463333,3.64,2019-07-11T23:52:32.220000,4.8,,ci38539039
-117.8843333,36.1815,3.65,2019-07-12T02:18:30.090000,1.54,,ci38540647
-117.3788333,35.9395,3.94,2019-07-12T03:27:53.690000,1.9,,ci38541359
-117.5861667,35.6368333,4.9,2019-07-12T13:11:37.990000,9.48,,ci38548295
-117.3736667,35.9421667,3.83,2019-07-13T10:25:19.030000,3.07,,ci38557895
-117.5035,35.6643333,3.64,2019-07-15T02:54:39.630000,9.22,,ci38570271
-117.8506667,36.056,4.21,2019-07-15T08:38:45.240000,2.26,,ci38572055
-117.4141667,35.6701667,3.61,2019-07-15T15:43:36.550000,8.43,,ci38574407
-117.506,35.6785,3.69,2019-07-15T21:29:53.010000,9.21,,ci38576311
-117.432,35.6323333,3.8,2019-07-16T02:47:05.040000,4.99,,ci38577831
-117.6235,35.7923333,3.55,2019-07-16T05:26:52.660000,2.96,,ci38578567
-117.6143333,35.7836667,4.47,2019-07-16T20:15:36.780000,3.56,,ci38583335
